Symbol,Sector,Price,Trend,Score,RS_5d,RS_10d,RS_20d,VolRatio,Breakout,Pullback,GapEvent,ATR14,ExpMovePct,DollarVol20d,DaysSinceEarnings,NextEarnings,EarningsInWindow,ExDivDate,ExDivInWindow
SNOW,Technology,328.99,uptrend,28.110977564102562,-6.56,0.85,-0.74,0.84,False,False,True,17.71,10.8,1763797119.0,11.0,2026-12-02,False,,False
MRNA,Healthcare,143.97,uptrend,25.0,-2.14,1.72,127.94,0.45,False,False,False,12.0,16.7,5164794097.0,44.0,2026-11-05,False,,False
ASST,Financial Services,27.62,uptrend,24.97996794871795,4.13,20.35,121.3,0.89,False,False,False,2.3,16.6,225976932.0,34.0,2026-11-10,False,,False
PURR,Financial Services,11.61,uptrend,24.959935897435898,-7.94,-8.63,71.98,0.78,False,False,False,1.37,23.5,312581976.0,17.0,2026-11-16,False,,False
HTFL,Healthcare,49.88,uptrend,24.939903846153847,1.49,4.58,62.6,0.85,False,False,False,2.41,9.7,120551568.0,31.0,2026-11-11,False,,False
AMLX,Healthcare,31.62,uptrend,24.919871794871796,-5.74,-14.07,42.41,0.46,False,False,False,1.76,11.1,134215725.0,38.0,2026-11-05,False,,False
SBET,Financial Services,8.88,chop,24.899839743589745,0.03,0.88,42.25,1.37,False,False,False,0.6,13.6,78131394.0,37.0,2026-11-12,False,,False
ETON,Healthcare,57.08,uptrend,24.879807692307693,-3.56,-8.04,41.65,0.48,False,False,False,2.83,9.9,40875263.0,31.0,2026-11-12,False,,False
CVI,Energy,49.66,uptrend,24.859775641025642,15.1,25.78,41.24,1.28,False,False,False,2.34,9.4,43319864.0,46.0,2026-10-28,False,2026-08-10,False
BMNR,Financial Services,25.03,chop,24.83974358974359,-4.22,-1.46,38.6,1.36,False,False,False,1.87,14.9,1081912127.0,61.0,2026-11-20,False,2025-12-05,False
BTDR,Technology,11.96,chop,24.81971153846154,1.57,6.44,38.28,0.52,False,False,False,0.88,14.6,144821705.0,34.0,2026-11-09,False,,False
MSTR,Technology,130.97,chop,24.79967948717949,-8.42,-3.8,36.63,0.68,False,False,False,9.6,14.7,3520096954.0,45.0,2026-10-29,False,,False
AMR,Basic Materials,209.41,chop,24.779647435897438,-2.43,-7.02,36.33,1.14,False,False,False,11.98,11.4,76261166.0,37.0,2026-11-06,False,2023-11-30,False
ANF,Consumer Cyclical,145.23,uptrend,24.759615384615387,2.33,0.53,35.21,0.55,False,False,False,9.14,12.6,340269849.0,18.0,2026-11-25,False,2020-03-05,False
IOVA,Healthcare,8.6,uptrend,24.739583333333336,-0.0,5.0,33.65,0.85,False,False,False,0.42,9.8,119369871.0,38.0,2026-11-05,False,,False
CNH,Industrials,13.58,uptrend,24.719551282051285,-0.73,19.69,32.45,0.65,False,False,False,0.58,8.6,311047998.0,41.0,2026-11-09,False,2026-05-21,False
MARA,Financial Services,11.98,uptrend,24.699519230769234,4.42,1.81,31.82,0.9,False,False,False,0.87,14.5,552354944.0,39.0,2026-11-04,False,,False
SOC,Energy,5.17,chop,24.679487179487182,10.68,11.83,30.03,1.03,False,False,False,0.3,11.7,41968857.0,34.0,2026-11-09,False,,False
BLSH,Technology,35.12,chop,24.659455128205128,-1.89,5.53,29.55,0.86,False,False,False,1.96,11.2,51136788.0,31.0,2026-11-12,False,,False
SWKS,Technology,88.35,uptrend,24.639423076923077,24.71,32.04,28.4,1.77,False,False,False,4.02,9.1,453895505.0,47.0,2026-11-03,False,2026-05-26,False
INSP,Healthcare,73.0,chop,24.619391025641026,18.63,20.91,27.18,2.39,False,False,False,3.07,8.4,37280453.0,41.0,2026-11-02,False,,False
ATRC,Healthcare,54.54,uptrend,24.599358974358974,5.11,11.58,27.16,1.23,False,False,False,2.07,7.6,44789156.0,52.0,2026-10-27,False,,False
XP,Financial Services,19.86,chop,24.579326923076923,0.45,13.21,27.13,1.13,False,False,False,0.84,8.5,130309868.0,28.0,2026-11-16,False,2026-06-10,False
SMMT,Healthcare,17.55,chop,24.559294871794872,3.6,23.35,27.1,0.65,False,False,False,1.01,11.6,96091116.0,52.0,2026-10-19,False,,False
SMTC,Technology,167.24,uptrend,24.539262820512818,24.66,18.3,26.95,0.76,False,False,False,10.59,12.7,488164427.0,19.0,2026-11-23,False,1980-09-05,False
AVAH,Healthcare,14.08,uptrend,24.519230769230766,4.37,2.76,26.46,0.64,False,False,False,0.55,7.8,49579520.0,31.0,2026-11-05,False,,False
CRGY,Energy,14.66,uptrend,24.499198717948715,6.16,8.28,26.16,1.01,False,False,False,0.47,6.4,73224461.0,41.0,2026-11-02,False,2026-08-17,False
CRM,Technology,247.72,chop,24.479166666666664,-5.17,-0.83,24.76,0.59,False,False,False,11.93,9.6,3901432381.0,18.0,2026-12-02,False,2026-09-17,True
DHT,Energy,22.0,uptrend,24.459134615384613,10.11,14.58,23.97,1.5,False,False,False,0.68,6.2,69259381.0,39.0,2026-10-28,False,2026-08-17,False
AGCO,Industrials,121.1,chop,24.439102564102562,-2.6,10.08,23.89,0.79,False,False,False,4.93,8.1,145266318.0,45.0,2026-10-30,False,2026-08-14,False
PBR,Energy,21.2,uptrend,24.41907051282051,4.51,17.05,23.72,0.8,False,False,False,0.68,6.4,443004636.0,38.0,2026-11-10,False,2026-08-25,False
FRO,Energy,49.21,uptrend,24.39903846153846,9.49,13.36,23.19,1.45,False,False,False,1.58,6.4,114507578.0,17.0,2026-11-30,False,2026-09-18,True
TNK,Energy,100.83,uptrend,24.37900641025641,10.95,15.2,22.44,1.42,False,False,False,3.5,6.9,48996726.0,46.0,2026-11-04,False,2026-08-10,False
CRCL,Financial Services,90.6,chop,24.358974358974358,-11.09,-2.98,21.94,0.69,False,False,False,6.99,15.4,1342357239.0,39.0,2026-11-11,False,,False
AESI,Energy,14.16,chop,24.338942307692307,8.67,9.81,21.85,0.75,False,False,False,0.72,10.2,39982928.0,41.0,2026-11-02,False,2025-08-14,False
RBLX,Communication Services,45.5,chop,24.318910256410255,10.76,20.15,21.64,0.64,False,False,False,1.96,8.6,400897024.0,45.0,2026-10-29,False,,False
SBSW,Basic Materials,12.54,chop,24.298878205128204,-3.27,3.17,21.4,1.04,False,False,False,0.53,8.5,67499264.0,,2027-02-18,False,2026-09-18,True
ECO,Industrials,76.15,uptrend,24.278846153846153,10.62,15.67,20.88,1.31,False,False,False,2.35,6.2,34542810.0,40.0,2026-11-11,False,2026-08-14,False
HUT,Financial Services,98.6,uptrend,24.258814102564102,13.08,14.05,20.61,1.17,False,False,False,6.82,13.8,420072077.0,40.0,2026-11-04,False,,False
PTEN,Energy,12.85,uptrend,24.23878205128205,3.54,6.53,20.58,1.01,False,False,False,0.58,9.1,96453451.0,47.0,2026-10-21,False,2026-09-01,False
CLSK,Financial Services,13.67,uptrend,24.21875,9.81,6.44,20.41,1.18,False,False,False,0.89,13.1,227278348.0,38.0,2026-11-24,False,,False
QRVO,Technology,116.65,uptrend,24.19871794871795,17.36,22.17,20.25,2.01,False,False,False,3.77,6.5,110498119.0,47.0,2026-11-09,False,,False
MTDR,Energy,61.05,uptrend,24.178685897435898,3.38,8.48,20.06,0.81,False,False,False,1.66,5.5,108708042.0,39.0,2026-10-27,False,2026-08-10,False
