Symbol,Sector,Price,Trend,Score,RS_5d,RS_10d,RS_20d,VolRatio,Breakout,Pullback,GapEvent,ATR14,ExpMovePct,DollarVol20d,DaysSinceEarnings,NextEarnings,EarningsInWindow,ExDivDate,ExDivInWindow
DELL,Technology,567.29,uptrend,98.73798076923077,11.01,21.01,16.46,1.63,True,False,True,32.92,11.6,4319571373.0,12.0,2026-11-27,False,2026-10-20,False
HPE,Technology,62.09,uptrend,95.15224358974359,15.2,15.0,5.54,1.66,True,False,True,3.51,11.3,1283085824.0,11.0,2026-12-03,False,2026-09-17,True
VG,Energy,15.8,uptrend,83.97836538461539,10.26,10.0,18.44,1.58,True,False,False,0.65,8.2,199833917.0,33.0,2026-11-09,False,2026-09-15,True
INSW,Energy,103.65,uptrend,83.71794871794872,7.67,10.6,16.21,1.79,True,False,False,3.27,6.3,55420493.0,34.0,2026-11-05,False,2026-09-10,False
CXW,Industrials,34.93,uptrend,82.7764423076923,4.92,4.26,12.29,1.62,True,False,False,1.18,6.7,57786436.0,39.0,2026-11-04,False,2020-03-31,False
STNG,Energy,84.52,uptrend,82.07532051282051,6.65,10.03,9.97,1.57,True,False,False,2.18,5.1,57896769.0,45.0,2026-10-29,False,2026-08-17,False
BAND,Technology,56.87,uptrend,80.83333333333334,21.92,10.56,6.94,1.65,True,False,False,3.86,13.6,39294631.0,46.0,2026-10-29,False,,False
AVT,Technology,99.63,uptrend,80.47275641025641,11.29,10.18,5.96,1.74,True,False,False,3.08,6.2,103131169.0,39.0,2026-10-28,False,2026-09-09,False
KR,Consumer Defensive,58.49,chop,79.37099358974359,1.11,3.62,4.65,1.98,True,False,False,1.44,4.9,358176548.0,2.0,2026-12-03,False,2026-08-14,False
OHI,Real Estate,46.99,chop,78.7099358974359,1.04,2.4,3.88,1.7,True,False,False,0.9,3.8,84143409.0,46.0,2026-10-29,False,2026-08-03,False
DBRG,Financial Services,15.9,uptrend,76.11578525641025,0.9,0.51,1.68,2.56,True,False,False,0.03,0.4,63823856.0,40.0,2026-10-29,False,2026-09-30,False
CBZ,Industrials,54.54,uptrend,76.06570512820512,0.47,0.65,1.64,1.61,True,False,False,0.26,1.0,56448757.0,46.0,2026-10-28,False,,False
GTLB,Technology,46.99,uptrend,37.19551282051282,-3.56,5.75,10.14,0.58,False,False,True,2.63,11.2,269292920.0,12.0,2026-12-01,False,,False
SIG,Consumer Cyclical,100.26,uptrend,37.135416666666664,23.39,23.39,10.07,1.04,False,False,True,4.54,9.1,89531003.0,4.0,2026-12-01,False,2026-10-23,False
SPSC,Technology,82.68,uptrend,35.37259615384615,-0.67,-0.92,5.92,3.56,False,False,True,3.65,8.8,41242677.0,45.0,2026-10-29,False,,False
PFG,Financial Services,116.17,uptrend,33.44951923076923,-0.83,5.24,3.59,0.81,False,False,True,2.62,4.5,132866842.0,48.0,2026-10-26,False,2026-09-03,False
VRNS,Technology,45.12,uptrend,29.513221153846153,-1.84,1.64,0.22,1.35,False,False,True,2.03,9.0,73680877.0,47.0,2026-10-27,False,,False
