week,n,univ,spy,top,top_bo,bo,n_bo,pb,gap,rs_hi,rs_lo,ext_hi,ext_mid,vr_med
2025-12-08,1198,0.45902203423497867,-0.7034857517738913,1.9738492922705662,24,1.8915733086720172,24,0.6043857940776519,1.6752384780401497,0.743216661710008,-0.7902929614156188,-0.5871460568731516,0.6407132495819923,0.8610063153220463
2025-12-15,1197,-1.0033017274632894,-0.4577333925786964,-1.5568164174242431,21,-0.8131685510176481,21,-0.9071764028667519,-1.2312303085462006,-1.1724979757238363,-0.9213016768535404,-1.1886044204682846,-1.0308544253172276,0.9640070422609497
2025-12-22,1155,0.2805387535984247,0.9313730945142984,-0.02632566884154956,60,0.5691074199446138,239,0.9047398539080105,-0.3669466918346297,-0.6437076271206851,0.7536571682951566,-1.0662622194448812,0.32365530314912844,1.7730433232305223
2025-12-29,1155,-0.29807331631169715,-0.6356016340194559,0.5840799570511603,4,-0.8670474026670899,4,-0.7882524392306078,2.3580680471180346,0.16709137413964212,-0.17397908408958113,3.5575315487358945,-0.576843712511001,0.4464820639556654
2026-01-05,1137,3.2960351518080366,1.0967993035598145,5.72606110493854,18,4.380290169261916,18,3.115201697732901,7.949952880085784,4.200094162152161,3.5328111756300884,8.309913222256325,2.9317256274993455,0.8591190947048812
2026-01-12,1240,1.2809638034960233,0.14188516308331067,4.144615447673912,49,3.7892964010349077,49,0.5415102863912957,2.9295642603095478,2.462802343787874,0.9304881116300555,4.684386423649885,1.1554011825367307,0.9526627618537256
2026-01-20,1248,1.4128855644979657,1.1357452542135604,0.7508297485627156,60,0.5446281784142074,76,2.2202953657976736,0.3282118317787308,2.5970383227841145,0.8528285036942134,2.3216129631634264,1.1988593629027045,1.0731868442667771
2026-01-26,1172,-2.186260884570647,0.21433928833893834,-6.02443163664616,31,-4.417233385524123,31,-2.540121004762442,-5.520328304755443,-5.426018495062126,-1.844020116890766,-7.0974965342470036,-1.2943769287413038,0.9495026987790054
2026-02-02,1200,3.4487974503191285,0.15081452268983497,3.097253745039336,40,4.144679855190799,40,3.471476751117115,2.9130352801706656,3.4626540980749105,1.8273295274807926,3.8906095867745054,4.328036812760509,1.103273842486175
2026-02-09,1226,-0.0625357389650389,-1.1125237427201617,-0.3461350677438285,60,-0.32634116328133767,67,0.9921948784150917,-0.5952940488587625,1.2738488042154061,-2.1429248989204703,1.0238029463464726,0.17221252162587827,0.9926655756235125
2026-02-17,1147,1.035226436396311,1.3659000183701586,0.15544289324361907,31,-0.832297423579773,31,1.5167194303246303,1.2261594929876065,1.1146255387855788,2.284467431651054,0.6436611452586632,0.45083258663764014,0.8633271570967563
2026-02-23,1140,0.34517425662483703,-0.2675137338486788,0.9968391547219391,29,1.8683484879059729,29,-0.6031486338648848,0.21085519258317054,1.0858382108281306,1.2843180532298475,2.7278286717320577,0.08881378190182389,0.8571310768871017
2026-03-02,1184,-3.2791051026731344,-0.9311978604439886,-2.001268952230639,58,-2.1150018269749284,58,-5.085957983248942,-1.3894415550392105,-4.971265087788292,-1.0667531150231686,-4.6615968165671715,-2.938443922442178,1.0322861536614676
2026-03-09,1155,-1.2117927450288126,-0.6152519014986035,0.6297141873555917,12,-0.8907053671947246,12,-0.5243724865980679,-1.0719230317579382,-0.25065031429473056,-1.3897173161213803,-2.032368068578201,-1.672270012149821,0.8931061018291643
2026-03-16,925,-2.7230133608922076,-2.6988739393471572,-0.6460146520535547,5,1.974375003405111,5,-2.189117191495949,-2.8048337285515137,-0.5820721115459243,-3.5039997634194315,0.6736875832065742,-1.6951232821809303,0.8440795899777209
2026-03-23,737,-0.19727944781302692,-3.6439892490439996,3.050526317104483,24,8.020931197021829,24,-12.206919493395219,-2.422242930630397,1.2178316913016514,0.12315405255276336,4.122731987469136,-0.07542239733520205,1.6720403706915465
2026-03-30,602,1.7895324124423968,2.4558282384089525,0.4977493914549222,5,7.848086056564332,5,2.510140500821568,7.26057703469097,-0.3698499439442883,2.9218488082731056,-2.021533202784914,1.8893189158641275,0.8205378754921161
2026-04-06,1008,2.6272885643531656,3.598328191182154,2.169455623850721,10,8.884679115235638,10,-1.395628226559828,4.27195027171932,2.2579750787569166,2.205804483948714,4.0597290368218175,2.8907211344474444,0.7467662525576007
2026-04-13,1214,4.502783326008306,4.83164530370741,10.243386314340011,9,8.549116368946297,9,0.4852558326071255,12.411182565371215,6.448433749371363,5.2414572762770435,7.406597459955214,4.216690092858603,0.7238576326853472
2026-04-20,1419,-0.19376864927658521,0.7280143404728934,0.8380220880124156,60,0.5763532201670634,69,-1.2076447447498002,-4.9062750857924575,0.4271370284269092,1.0088648778406162,0.23987701490223376,-0.8104858152662989,1.036243998147491
2026-04-27,1227,0.4973339637193742,1.0488416623050778,1.3620261444568216,26,0.5695772748817338,26,0.7835410277770337,0.9658696969253583,0.4591939870680962,1.742982275046303,1.1610948117665776,0.17107950584508394,0.8611321755800654
2026-05-04,1212,1.5370379216413472,2.4372664366977714,2.8750181361305893,36,1.1830278192083552,36,1.9929527457147271,2.3451135046159415,4.978043389769329,-0.15236638966825686,5.075174100430659,0.8049032339597929,0.8821108896883119
2026-05-11,1252,-2.2431748485284273,0.36933979072453216,0.4509322105288303,40,0.15940899711969472,40,-3.218284268414014,-2.4223156239536934,-1.1353077896076391,-3.596324039875371,-0.5515118724073522,-2.2756615937036613,0.9260152854669841
2026-05-18,1154,2.2216739185442242,0.7853175668516288,2.228281669153252,15,1.5785056572869383,15,2.0671272977438813,2.32067141364624,1.8862093263195034,3.622181176906826,3.628128886866845,1.3040024259691283,0.9270087779224654
2026-05-26,1254,0.8505116381638593,0.8626509885444777,2.111267216849932,19,6.609589077330834,19,-0.22866320252236325,1.3929100384065003,1.9460005450823497,1.2008464826613652,2.857136658359925,0.5910251941057104,0.7401294657753685
2026-06-01,1285,-1.988902843948451,-2.35781336405132,-4.658101838548267,60,-2.9491936293701455,91,-3.3052817414966422,-6.8293472803552735,-6.133447358276857,-1.0837913066563822,-5.588914486118907,-1.551567559887324,1.1933197269954134
2026-06-08,1252,1.7871467953847286,-0.21657793536743464,-1.028626842465211,10,3.785196443637846,10,2.475679494675025,-1.4102442702596147,0.027231722397021277,2.1224846026035737,-0.07843066922275589,2.0275459457852922,0.9064535524654178
2026-06-15,1332,-1.2809372833162995,-0.4237805663232286,-0.5152647234971985,18,1.0755276242054388,18,-1.9809662299231932,0.07147470416362772,-0.9659849949834478,-0.8889536203625406,0.667028300376344,-1.339571153308952,0.8293096296962682
2026-06-22,1260,0.8669080940634946,-2.502343408746077,1.7916930353782177,60,1.898573927373167,151,1.41894560757886,-3.870128741644016,-0.3595843091414784,0.6918747715721325,-2.3886302561918433,2.1523900738261035,1.5826315290759505
2026-06-29,1337,0.2576169022125213,1.1201172622758993,2.268463602089613,60,1.3106877433999888,315,1.1893998736501452,-0.8698368769263769,0.44845264926184236,-0.9023507784295772,1.32570671292772,0.6452260268344415,1.5769503888802519
2026-07-06,1460,-0.725264972036229,0.8293963263151349,-0.9549880983980032,11,-1.805099229827276,11,-0.08209228116281286,-1.3470820594306412,-2.0297013936536668,0.44199244065277815,-2.056924161168372,-0.8449924055404097,0.8559919693694884
2026-07-13,1447,-0.771310423527507,-1.219981266123249,-3.0849838871715884,7,-0.1977324549729859,7,0.2311841325920407,-3.3430886935697135,-1.721121835319175,-2.263365203688972,-0.04178576814962499,0.38643018673037693,0.6253956790673464
2026-07-20,1442,-1.0641005262221388,-1.0882666598909685,-4.341103489788863,23,-1.43934882397911,23,-0.8071170787548635,-1.1728392021937155,-3.0794673340292085,-0.523264324883819,-4.239743750319431,-0.9051470588617369,0.8304959037190265
2026-07-27,1381,-0.5483568098701815,0.2846056877711334,1.2464768183226551,21,-1.8870102049370847,21,-0.4812632759108904,2.806406512945617,1.637625727659342,-2.8878442052954965,-0.10784554260581276,-0.18554190944120494,0.7567249517133757
2026-08-03,1393,3.11622038691934,3.1783741522499076,1.9718146341742466,35,1.768679660686903,35,0.8945523576765188,4.539872813427998,1.7745883065816468,7.969546391473774,2.154368852638978,1.9780362204518898,0.9765043764679415
2026-08-10,1499,1.331787746393857,0.4840863820497532,1.5750561465913542,47,1.072921853386512,47,1.6385683920201335,1.5179208431691529,1.443146436897984,1.7633541491744829,1.3914521676405718,0.8117570628786905,0.8305794245986293
2026-08-17,1484,-0.7697472319285403,-1.347628394362066,-0.615505638496718,4,1.4218961942299906,4,-0.3321483949622388,-0.17325490349484854,-0.23593569383200924,-1.6553599627383924,-1.4899309327532102,-0.40205399379232654,0.6850559152819501
2026-08-24,1465,-0.9365989633984927,0.5975504215590011,-1.6140761185889894,33,-2.8078527829447424,33,-0.9341832993358865,-1.56348020932125,-0.4721581060149297,-1.8132318723306198,-1.090553520570243,-0.6773128150644769,0.8099172475146521
