Symbol,Sector,Price,Trend,Score,RS_5d,RS_10d,RS_20d,VolRatio,Breakout,Pullback,GapEvent,ATR14,ExpMovePct,DollarVol20d,DaysSinceEarnings,NextEarnings,EarningsInWindow,ExDivDate,ExDivInWindow
CPA,Industrials,131.73,chop,80.6594323873122,2.09,3.03,3.93,1.63,True,False,False,3.14,5.3,34610457.0,46.0,2026-11-18,False,2026-08-31,False
TMO,Healthcare,651.45,uptrend,80.57595993322204,7.0,6.66,3.76,2.26,True,False,False,15.47,5.3,1274051842.0,59.0,2026-10-21,False,2026-09-15,False
MSM,Industrials,122.21,uptrend,80.50292153589317,1.5,4.9,3.7,2.91,True,False,False,2.75,5.0,77256224.0,81.0,2026-10-22,False,2026-07-08,False
PRM,Basic Materials,32.18,chop,80.3881469115192,2.06,1.65,3.44,2.06,True,False,False,0.98,6.8,31957534.0,51.0,2026-10-29,False,,False
STAG,Real Estate,37.6,chop,80.17946577629382,1.33,0.97,3.25,1.91,True,False,False,0.53,3.1,57930254.0,54.0,2026-10-28,False,2026-09-30,True
LUV,Industrials,40.98,chop,80.05425709515859,4.53,7.05,3.08,2.56,True,False,False,1.2,6.5,217587878.0,60.0,2026-10-21,False,2026-09-03,False
NTAP,Technology,197.79,uptrend,79.62646076794658,-0.65,7.93,2.45,1.89,True,False,False,9.25,10.5,481135324.0,18.0,2026-12-01,False,2026-10-09,False
EXPD,Industrials,190.94,uptrend,79.53255425709516,-0.77,3.28,2.31,2.79,True,False,False,3.41,4.0,170608620.0,47.0,2026-11-03,False,2026-06-01,False
PG,Consumer Defensive,146.39,uptrend,79.45951585976627,0.86,0.88,2.26,1.5,True,False,False,2.34,3.6,1249510266.0,53.0,2026-10-22,False,2026-07-24,False
FORM,Technology,118.38,uptrend,79.32387312186978,3.08,23.58,2.18,2.15,True,False,False,6.32,11.9,123187108.0,53.0,2026-10-28,False,,False
ETN,Industrials,424.77,uptrend,79.30300500834724,-0.05,8.2,2.15,2.24,True,False,False,15.09,7.9,839511393.0,51.0,2026-11-03,False,2026-08-07,False
DGX,Healthcare,246.45,uptrend,79.2821368948247,4.96,4.19,2.01,1.92,True,False,False,5.48,5.0,242406077.0,59.0,2026-10-20,False,2026-10-06,False
ADI,Technology,375.72,uptrend,78.9482470784641,-0.72,6.63,1.66,2.13,True,False,False,10.44,6.2,1325813766.0,32.0,2026-11-24,False,2026-09-01,False
TXNM,Utilities,58.44,chop,78.88564273789649,1.43,1.76,1.58,2.69,True,False,False,0.37,1.4,91331144.0,51.0,2026-10-30,False,2026-09-30,True
GSAT,Communication Services,82.84,uptrend,78.29090150250417,0.53,2.29,0.9,2.17,True,False,False,0.65,1.8,49900335.0,45.0,2026-11-05,False,,False
MKTX,Financial Services,163.42,chop,78.17612687813022,0.35,1.29,0.81,2.16,True,False,False,0.36,0.5,151816974.0,52.0,2026-11-05,False,2026-08-19,False
ATKR,Industrials,94.32,uptrend,78.05091819699499,0.27,1.96,0.76,1.97,True,False,False,0.27,0.6,69092259.0,48.0,2026-11-19,False,2026-08-18,False
ABBV,Healthcare,263.96,uptrend,77.9465776293823,2.75,2.68,0.68,1.89,True,False,False,5.55,4.7,1124110119.0,51.0,2026-10-29,False,2026-10-15,False
EGP,Real Estate,202.37,chop,77.70659432387312,2.24,3.21,0.48,3.57,True,False,False,3.03,3.4,88426000.0,60.0,2026-10-22,False,2026-09-30,True
HZO,Consumer Cyclical,52.56,uptrend,77.67529215358931,0.76,2.01,0.46,1.63,True,False,False,0.14,0.6,40005772.0,59.0,2026-11-12,False,,False
ACA,Industrials,145.84,uptrend,77.23706176961602,0.67,1.49,0.17,1.97,True,False,False,0.31,0.5,92096680.0,46.0,2026-10-29,False,2026-10-15,False
TECH,Healthcare,72.37,uptrend,77.18489148580969,0.44,1.13,0.11,1.91,True,False,False,0.19,0.6,189574014.0,39.0,2026-11-09,False,2026-08-24,False
