Symbol,Sector,Price,Trend,Score,RS_5d,RS_10d,RS_20d,VolRatio,Breakout,Pullback,GapEvent,ATR14,ExpMovePct,DollarVol20d,DaysSinceEarnings,NextEarnings,EarningsInWindow
WDAY,Technology,195.79,uptrend,53.468164794007485,-4.47,-2.69,9.39,0.57,False,True,False,8.73,8.9,982337959.0,10.0,2026-12-01,False
NOV,Energy,21.39,uptrend,53.333333333333336,1.8,4.17,9.25,0.59,False,True,False,0.69,6.5,64428778.0,40.0,2026-10-26,False
ESTC,Technology,91.81,uptrend,53.32209737827716,-8.22,6.25,22.63,0.61,False,False,True,5.74,12.5,285765788.0,10.0,2026-11-19,False
HOG,Consumer Cyclical,28.3,uptrend,53.25842696629214,0.6,-0.23,9.2,0.73,False,True,False,0.87,6.1,49284799.0,46.0,2026-11-04,False
VG,Energy,14.42,uptrend,53.19850187265918,1.58,0.89,9.15,0.55,False,True,False,0.6,8.3,191386316.0,27.0,2026-11-09,False
NTNX,Technology,68.06,uptrend,53.048689138576776,-1.7,0.04,9.0,0.7,False,True,False,2.47,7.3,187280335.0,11.0,2026-11-25,False
CLBK,Financial Services,11.7,uptrend,52.8689138576779,1.1,-1.35,8.82,0.49,False,True,False,0.22,3.8,49099163.0,39.0,2026-10-20,False
CGAU,Basic Materials,22.92,uptrend,52.77902621722847,-2.33,-4.08,8.56,0.59,False,True,False,1.04,9.1,35645515.0,40.0,2026-10-27,False
VEEV,Healthcare,275.09,uptrend,52.66292134831461,-0.69,10.38,19.76,0.59,False,False,True,11.8,8.6,508924827.0,11.0,2026-11-25,False
CRL,Healthcare,288.5,uptrend,52.50936329588015,-1.14,-2.85,8.25,0.82,False,True,False,9.71,6.7,258350367.0,33.0,2026-11-04,False
LYB,Basic Materials,63.52,uptrend,52.2996254681648,-0.34,-5.55,8.09,0.74,False,True,False,2.16,6.8,225865636.0,38.0,2026-10-30,False
FRSH,Technology,12.73,uptrend,52.17977528089888,-8.26,-2.51,7.91,0.66,False,True,False,0.49,7.7,69487138.0,33.0,2026-11-03,False
LIVN,Healthcare,81.92,uptrend,52.1498127340824,1.88,3.45,7.88,0.56,False,True,False,2.18,5.3,47936122.0,33.0,2026-11-04,False
RELY,Technology,26.17,uptrend,51.79026217228464,-1.54,-2.46,7.56,0.65,False,True,False,1.12,8.6,85614437.0,32.0,2026-11-04,False
OII,Energy,51.4,uptrend,51.760299625468164,1.49,-3.6,7.55,0.48,False,True,False,1.92,7.5,42685141.0,46.0,2026-10-21,False
DELL,Technology,524.14,uptrend,51.70411985018727,14.77,17.98,15.9,1.34,False,False,True,29.98,11.4,3959180672.0,5.0,2026-11-27,False
